,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,@Amtrak When will the bus connection from Visalia to Hanford be back in service?,FALSE,0,Amtrak,11/12/2021 20:07,FALSE,NA,1.46106E+18,119166791,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ReneBarba89,0,FALSE,FALSE,NA,NA
2,"@UUXMNR Leaning toward live, via Amtrak!!",FALSE,1,UUXMNR,11/12/2021 19:38,FALSE,1.46105E+18,1.46106E+18,41491030,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jbpaoletti,0,FALSE,FALSE,NA,NA
3,"@squirrelpalooza @GoodPoliticGuy Took it from NYC to FL and Chicago to SF, the Amtrak trains go a blistering 55 mph",FALSE,1,squirrelpalooza,11/12/2021 19:29,FALSE,1.46103E+18,1.46105E+18,1.33731E+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GoodhauerU,0,FALSE,FALSE,NA,NA
4,@Trirunt @wendynilsson @SecretaryPete @PeteButtigieg @WHCOS @POTUS @Amtrak @NicolleDWallace @thenewsoncnbc Add St L… https://t.co/3eAqn4yOhz,FALSE,0,Trirunt,11/12/2021 19:17,TRUE,1.46103E+18,1.46105E+18,50580213,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PatriciaDorse12,0,FALSE,FALSE,NA,NA
5,Chart of the day: Amtrak's officially getting a massive cash boost https://t.co/qMMu5polN3 via @nbcnews,FALSE,0,NA,11/12/2021 19:10,FALSE,NA,1.46105E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TBlackwe85,0,FALSE,FALSE,NA,NA
6,@RealEric4Real Most common reason is that Canisius College &amp; nearby neighborhoods didn’t want “overhead wires” and… https://t.co/nWCVQCzMRa,FALSE,1,RealEric4Real,11/12/2021 18:10,TRUE,1.46102E+18,1.46103E+18,1486390579,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RAILMag,0,FALSE,FALSE,NA,NA
7,@LickleMissMitch @Amtrak Philly for Thanksgiving,FALSE,0,LickleMissMitch,11/12/2021 18:03,FALSE,1.46103E+18,1.46103E+18,274802498,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SPC_Hospitality,0,FALSE,FALSE,NA,NA
8,"@Joe_Schmucc for shit like regular streets and inter-connectivity between municipalities in a given state, sure. Bu… https://t.co/RkCkdD26T1",FALSE,0,Joe_Schmucc,11/12/2021 17:41,TRUE,1.46103E+18,1.46103E+18,22903265,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JeauxAlejandro,0,FALSE,FALSE,NA,NA
9,"@the_blueprint Agreed like a mufucka. 

I also think the transpo should be. They already have Amtrak but they bulls… https://t.co/90cMAhRV8b",FALSE,0,the_blueprint,11/12/2021 17:36,TRUE,1.46102E+18,1.46103E+18,913381,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JeauxAlejandro,0,FALSE,FALSE,NA,NA
10,I’m one of them <U+0001F44F><U+0001F3FE> #Travel #Amtrak @Amtrak #Tourism https://t.co/DDIgE81mX8,FALSE,0,NA,11/12/2021 17:30,FALSE,NA,1.46102E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SPC_Hospitality,0,FALSE,FALSE,NA,NA
11,This morning’s @Amtrak office with some great fall foliage views <U+0001F60D> https://t.co/6EJb1pB7Bk,FALSE,8,NA,11/12/2021 17:00,FALSE,NA,1.46102E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WalterDeleonDC,0,FALSE,FALSE,NA,NA
12,@JFeinsteinBooks Amtrak next time? :),FALSE,0,JFeinsteinBooks,11/12/2021 16:43,FALSE,1.46098E+18,1.46101E+18,2804260904,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ChrisWilson_Esq,0,FALSE,FALSE,NA,NA
13,$85 for a one way ticket on @Amtrak for Thanksgiving. Thanks POS! #FJB #LetsGoBrandon https://t.co/TWMNRvkEe4,FALSE,1,NA,11/12/2021 16:42,FALSE,NA,1.46101E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GREED_90,0,FALSE,FALSE,NA,NA
