,user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
1,438262278,1.45563E+18,1635883143,MinteractApp,159 #Stocks Announce #Earnings AMC $LYFT $MANT $MCY $MDLZ $MDXG $MEC $METC $MG $MGNX $MKL $MOD $MRCC $MRCY $MTCH $MYGN $NMIH $NP $NR $NSA #StockMarket #Investment #investing #investor #trading #Trader #Traders #Trade #Options #UOA #OptionsTrading #market https://t.co/YcCtCSZzuD https://t.co/1TQLjkUBWG,Twitter Web App,278,NA,NA,NA,FALSE,FALSE,0,1,NA,NA,"c(""Stocks"", ""Earnings"", ""StockMarket"", ""Investment"", ""investing"", ""investor"", ""trading"", ""Trader"", ""Traders"", ""Trade"", ""Options"", ""UOA"", ""OptionsTrading"", ""market"")","c(""LYFT"", ""MANT"", ""MCY"", ""MDLZ"", ""MDXG"", ""MEC"", ""METC"", ""MG"", ""MGNX"", ""MKL"", ""MOD"", ""MRCC"", ""MRCY"", ""MTCH"", ""MYGN"", ""NMIH"", ""NP"", ""NR"", ""NSA"")",apple.co/3a9YKUj,https://t.co/YcCtCSZzuD,https://apple.co/3a9YKUj,http://pbs.twimg.com/media/FDNrpNrUUAUJbGb.jpg,https://t.co/1TQLjkUBWG,https://twitter.com/MinteractApp/status/1455625524374503426/photo/1,photo,http://pbs.twimg.com/media/FDNrpNrUUAUJbGb.jpg,https://t.co/1TQLjkUBWG,https://twitter.com/MinteractApp/status/1455625524374503426/photo/1,NA,NA,NA,tl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/MinteractApp/status/1455625524374503426,Super Stocks,"California, USA","Powerful market tracker with alert for #stock, #options, #futures. #UnusualOptions scanner and money flow analysis .#superstocks #stockstation #activeportfolio",https://t.co/nSHXiF4qww,FALSE,5143,89,70,73283,51,1324034597,FALSE,https://t.co/nSHXiF4qww,https://aiportfolio.io,NA,https://pbs.twimg.com/profile_banners/438262278/1618948639,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/953696031266414593/0-8oVMTj_normal.jpg
2,438262278,1.45344E+18,1635361382,MinteractApp,#Options Flow Stream Update  $TSLA $GOOGL $COST $LYFT $SPY $SPX #OptionsTrading #OptionsFlow #optionstrade #optiontrading #stock #stocks #StockMarket #Investment #investing #invest #investor #investors #UOA https://t.co/5JE2nlrW3B https://t.co/YmovqhIj2a,minteractapp,230,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,"c(""Options"", ""OptionsTrading"", ""OptionsFlow"", ""optionstrade"", ""optiontrading"", ""stock"", ""stocks"", ""StockMarket"", ""Investment"", ""investing"", ""invest"", ""investor"", ""investors"", ""UOA"")","c(""TSLA"", ""GOOGL"", ""COST"", ""LYFT"", ""SPY"", ""SPX"")",apple.co/2XZuTYw,https://t.co/5JE2nlrW3B,https://apple.co/2XZuTYw,http://pbs.twimg.com/media/FCulVeyVEAUvtdS.jpg,https://t.co/YmovqhIj2a,https://twitter.com/MinteractApp/status/1453437099391139843/photo/1,photo,"c(""http://pbs.twimg.com/media/FCulVeyVEAUvtdS.jpg"", ""http://pbs.twimg.com/media/FCulVmyUcAg_5eV.jpg"", ""http://pbs.twimg.com/media/FCulVrYVIAQ9iev.jpg"", ""http://pbs.twimg.com/media/FCulVwPUUAEFvyt.jpg"")","c(""https://t.co/YmovqhIj2a"", ""https://t.co/YmovqhIj2a"", ""https://t.co/YmovqhIj2a"", ""https://t.co/YmovqhIj2a"")","c(""https://twitter.com/MinteractApp/status/1453437099391139843/photo/1"", ""https://twitter.com/MinteractApp/status/1453437099391139843/photo/1"", ""https://twitter.com/MinteractApp/status/1453437099391139843/photo/1"", ""https://twitter.com/MinteractApp/status/1453437099391139843/photo/1"")",NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/MinteractApp/status/1453437099391139843,Super Stocks,"California, USA","Powerful market tracker with alert for #stock, #options, #futures. #UnusualOptions scanner and money flow analysis .#superstocks #stockstation #activeportfolio",https://t.co/nSHXiF4qww,FALSE,5143,89,70,73283,51,1324034597,FALSE,https://t.co/nSHXiF4qww,https://aiportfolio.io,NA,https://pbs.twimg.com/profile_banners/438262278/1618948639,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/953696031266414593/0-8oVMTj_normal.jpg
3,3883498276,1.45562E+18,1635882872,GhogHc,@CharlesGerety @OUltrabirch @Bobsanders488 @beauchamp_coach Yeah I got a cousin that’s a nurse she thinks the same thing. It’s so avoidable especially with Uber and Lyft being a thing now,Twitter for iPhone,127,1.45562E+18,1.43756E+18,CharlesGerety,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""1437562229470212096"", ""1404783707785945096"", ""1451025913143984128"", ""1225189778825474048"")","c(""CharlesGerety"", ""OUltrabirch"", ""Bobsanders488"", ""beauchamp_coach"")",en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/GhogHc/status/1455624384060837893,The Baltimore Torn ACL’s (5-2),"Bel Air, MD","Ravens, Orioles, Hornets & Canes Fan Baltimore/Harford Born and Raised Protect Mullins and Mancini at all Cost Lamar is the <U+0001F410>",NA,FALSE,14,46,0,510,168,1444161350,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/3883498276/1559004153,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1437195535899926528/WcVS0Srh_normal.jpg
4,1.39219E+18,1.45562E+18,1635882323,TradingPotter,Time to watch this #StockMarket rally into the close. Hoping for a good earnings report from $LYFT after hours today!,Twitter for iPhone,117,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,StockMarket,LYFT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/TradingPotter/status/1455622084327981056,Potter,"California, USA",Stock market investor and avid options trader.,https://t.co/DoSzpUBfWx,FALSE,39,154,0,838,823,1620759626,FALSE,https://t.co/DoSzpUBfWx,https://discord.gg/Xe9bmxZV7T,NA,https://pbs.twimg.com/profile_banners/1392192847269425152/1622561958,NA,http://pbs.twimg.com/profile_images/1455321228177129474/RjExcyE2_normal.jpg
5,298373358,1.45562E+18,1635881441,smmsean,@chr1s60 @ScooterMagruder Not to mention having to live the rest of your life with that guilt knowing what you did :( just take an Uber or a Lyft,Twitter for iPhone,119,1.4556E+18,326107520,chr1s60,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""326107520"", ""32740920"")","c(""chr1s60"", ""ScooterMagruder"")",en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/smmsean/status/1455618382804373509,Sean <U+272D>,california,Marketing Consultant. Investor. Gamer. American. #DC4L <U+0001F499><U+0001F499>,NA,FALSE,417,589,9,1010,4466,1305353564,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/298373358/1527267212,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1432374380374343683/hEPfSJGU_normal.jpg
6,1.17394E+18,1.45562E+18,1635881359,ConfusedOldMan_,@Humble_Slim With Lyft and Uber I find it difficult to continue seeing stories like these but maybe it's cuz I'm in the city now and people rarely drive here.,Twitter for Android,145,1.4556E+18,237401215,Humble_Slim,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237401215,Humble_Slim,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/ConfusedOldMan_/status/1455618040939356175,ConfusedOldMan,"Washington, DC","At this point Twitter is my news source. Outside of that I'm just here to RT tweets, like yall pics & talk to myself lol. Oh yeah, & I write too.",https://t.co/acHidKIJOT,FALSE,232,437,0,11896,1108,1568724963,FALSE,https://t.co/acHidKIJOT,https://allmylinks.com/calvinsocialmedia,NA,https://pbs.twimg.com/profile_banners/1173943647282372608/1633721045,NA,http://pbs.twimg.com/profile_images/1441799689309929475/wJ_5Pd6d_normal.jpg
7,236518570,1.45562E+18,1635880837,gilmoreport,$LYFT expected to report earnings after the bell - can it get any worse after earnings? https://t.co/4vaNyCd7SQ,Twitter Web App,87,NA,NA,NA,FALSE,FALSE,4,0,NA,NA,NA,LYFT,NA,NA,NA,http://pbs.twimg.com/media/FDNi5OiVgAAoeMW.png,https://t.co/4vaNyCd7SQ,https://twitter.com/gilmoreport/status/1455615850010976256/photo/1,photo,http://pbs.twimg.com/media/FDNi5OiVgAAoeMW.png,https://t.co/4vaNyCd7SQ,https://twitter.com/gilmoreport/status/1455615850010976256/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/gilmoreport/status/1455615850010976256,Gil Morales - The Gilmo Report & VoSI,California,"Gil Morales is the co-author of Trade Like an O'Neil Disciple: How We Made 18,000% in the Stock Market and is a former Chief Market Strategist for Bill O'Neil",http://t.co/k2NIRZP5Kk,FALSE,13889,0,394,41080,3784,1294688238,FALSE,http://t.co/k2NIRZP5Kk,http://www.gilmoreport.com,NA,https://pbs.twimg.com/profile_banners/236518570/1624222703,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1216837508/Chart_Logo-3_normal.jpg
8,402496256,1.45562E+18,1635880747,trey_babyIII,Really all that money and you wanna get behind the wheel!! Uber lyft taxis in vegas and you drive!! Now look what you got to live with this is just sad!!,Twitter for Android,153,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/trey_babyIII/status/1455615473412755463,<U+0001F48E>Pati<U+0001F48E>,"California, USA",live for today because today will never happen again.... #proudmom,NA,FALSE,586,469,0,23399,18049,1320123307,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/402496256/1590001021,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/1369402511803682816/WlVkIm5T_normal.jpg
9,7.68258E+17,1.45562E+18,1635880692,Kyle_Wandel,"@AirianHarmon @nicholasmuhl I get what you're saying and agree. But it'll never happen cause we live capitalist economy. 

https://t.co/s3b0yh8TN3",Twitter Web App,118,1.45561E+18,463027690,AirianHarmon,FALSE,FALSE,1,0,NA,NA,NA,NA,cnbc.com/2021/08/31/why…,https://t.co/s3b0yh8TN3,https://www.cnbc.com/2021/08/31/why-uber-and-lyft-rides-are-more-expensive-than-ever.html,NA,NA,NA,NA,NA,NA,NA,NA,"c(""463027690"", ""2795701071"")","c(""AirianHarmon"", ""nicholasmuhl"")",en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/Kyle_Wandel/status/1455615244047470594,Kyle Wandel,"Washington, DC",Love talking sports. Thoughts and opinions are my own.,NA,FALSE,138,309,2,8940,4784,1472002046,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/768258383023513600/1605208928,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1055941492341174272/ETglE_BV_normal.jpg
10,42303050,1.45561E+18,1635880497,Jason611,"There is no excuse to drive while drunk or impaired, no excuse at all. Get an Uber or Lyft ride home. This should not have happened. https://t.co/a8orhdU2yX",Twitter for Android,132,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,twitter.com/SportsCenter/s…,https://t.co/a8orhdU2yX,https://twitter.com/SportsCenter/status/1455603985344237574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,1.4556E+18,"Raiders WR Henry Ruggs III was involved in a car crash early Tuesday morning that killed one person.

He will be charged with DUI resulting in death. https://t.co/RUX0K4f0Xd https://t.co/TV8kZP9Tvu",1635878008,Sprinklr,8447,1152,26257166,SportsCenter,SportsCenter,38331981,729,129949,,Download the ESPN App <U+2B07><U+FE0F>,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/Jason611/status/1455614422899167233,Jason Cochran,"Vienna, VA","Swim Coach, Identical twin, & sports are my life!
Before you get offended, remember that I am here to share my opinions and content I agree with.",NA,FALSE,206,546,2,1356,10575,1243207546,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/42303050/1567646398,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/909930464487657473/QRtVzqYZ_normal.jpg
