,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,@DJ_MissLA God knows <U+0001F602> there’s some taxi driver near mine that’s always watching YouTube in the car too! He’s such a nice guy but ffs <U+0001F602>,FALSE,0,DJ_MissLA,11/23/2021 0:24,FALSE,1.46293E+18,1.46294E+18,214573825,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ImLeanneLouise,0,FALSE,FALSE,NA,NA
2,"Late in the day @mattyglesias, who has viciously opposed manufacturing unions (think: trade policy, etc..), governm… https://t.co/3sKZjJj1Ig",FALSE,9,NA,11/23/2021 0:16,TRUE,NA,1.46294E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",jeffhauser,1,FALSE,FALSE,NA,NA
3,"FYI TO THOSE TRAVELING TO LA THIS WEEK -
LAX is crowded asf. Be prepared to wait for everything &amp; walk around masse… https://t.co/rjOQNZg0zt",FALSE,7,NA,11/23/2021 0:07,TRUE,NA,1.46294E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TeenyGabTan,1,FALSE,FALSE,NA,NA
4,"if there’s a queue for the taxi rank, I will throw things",FALSE,0,NA,11/22/2021 22:54,FALSE,NA,1.46292E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hollyemmaaaaa,0,FALSE,FALSE,NA,NA
5,Enjoy this time with family and friends. #HappyThanksgiving! Request a taxi out of town or around town at… https://t.co/XOvfKfOJE6,FALSE,2,NA,11/22/2021 22:29,TRUE,NA,1.46291E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DCYellowCab,0,FALSE,FALSE,NA,NA
6,Guys I didn’t update my passport so I’m in a taxi in Washington DC going to CVS to get a Covid card that matches my… https://t.co/EB2nA5K4S7,FALSE,12,NA,11/22/2021 20:56,TRUE,NA,1.46289E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NerdyPam,0,FALSE,FALSE,NA,NA
7,@sineadactually @XtinaGrimwade Like when the Taxi drivers in Rio used to randomly point out Ronnie Biggs apartment(s) to British tourists?,FALSE,0,sineadactually,11/22/2021 19:38,FALSE,1.46278E+18,1.46287E+18,9.22147E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",T4Yorkshire,0,FALSE,FALSE,NA,NA
8,Come explore the future with us at the @smithsonianaib Futures exhibit. Find our merch machine near the flying air… https://t.co/SuRXltf7VM,FALSE,2,NA,11/22/2021 18:06,TRUE,NA,1.46284E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GuerillaVending,1,FALSE,FALSE,NA,NA
9,"<U+0001F967>It's Monday<U+0001F967>

Jim &amp; Trev are out  in Oxfordshire for Mince Pie Mondays! ... but no taxi this time <U+0001F62C>

Today: Sotwel… https://t.co/I4wbixTl2A",FALSE,4,NA,11/22/2021 17:05,TRUE,NA,1.46283E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",JACKfmOxford,2,FALSE,FALSE,NA,NA
10,"@IriathZhul If maintaining was the more expensive route, taxi drivers would not be rocking 300k crown vics",FALSE,1,lowqualitybot,11/22/2021 16:59,FALSE,1.46283E+18,1.46283E+18,1.14868E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lowqualitybot,0,FALSE,FALSE,NA,NA
11,#UK #Liverpool - Liverpool taxi #bomb suspect Emad Al Swealmeen 'began buying bomb parts at least seven months ago'… https://t.co/lJwtcfU4aS,FALSE,1,NA,11/22/2021 16:50,TRUE,NA,1.46283E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",realhumanrights,0,FALSE,FALSE,NA,NA
12,@Upworthy @gofundme BET ALL IN CAUSE I'M A PROFESSIONAL GAMBLER AND WIN 2/3X SOOOOO GIVE ME SOME MONEY! J/K I'D TAK… https://t.co/1xYhCQIWTm,FALSE,0,Upworthy,11/22/2021 15:52,TRUE,1.46149E+18,1.46281E+18,524396430,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Player1Rising,0,FALSE,FALSE,NA,NA
13,I play Trinidadian love songs 24/7 the hood know Trinidad more Gangsta the water don't be running half the time Ame… https://t.co/gpwMgJDUcx,FALSE,1,13xRas,11/22/2021 15:49,TRUE,1.46281E+18,1.46281E+18,1.33504E+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",13xRas,0,FALSE,FALSE,NA,NA
14,Enjoy this time with family and friends. #HappyThanksgiving! Request a taxi out of town or around town at… https://t.co/f1sXVvqBIJ,FALSE,0,NA,11/22/2021 15:45,TRUE,NA,1.46281E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DCYellowCab,1,FALSE,FALSE,NA,NA
15,"Taxi! To the Airport — by Air, Please. - https://t.co/dLGGFBYJOh #VIXC #LatestComments #Commentary #eWeatherNews https://t.co/jPb9RgHsKP",FALSE,1,NA,11/22/2021 14:40,FALSE,NA,1.46279E+18,NA,"<a href=""http://latestcommentary.com"" rel=""nofollow"">Latest Commentary</a>",LatestComments,0,FALSE,FALSE,NA,NA
16,"New York Times: the quickly approaching future of taxi by air.

https://t.co/1mcJjD1fXL",FALSE,1,NA,11/22/2021 14:03,FALSE,NA,1.46278E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",IPMInow,0,FALSE,FALSE,NA,NA
17,". Did you know that 100 % of a @DCYellowCab taxi driver's fare, goes to the driver? 100%! Come join a fleet that ge… https://t.co/1VfTh0V0rb",FALSE,0,DCYellowCab,11/22/2021 12:54,TRUE,1.45315E+18,1.46277E+18,1225520731,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DCYellowCab,0,FALSE,FALSE,NA,NA
18,"@OxfordCity Sadly I’ll be shopping in Bath,not been to Oxford,3 years. Love Christmas, there are lots of bags.
I di… https://t.co/otCSW2leYl",FALSE,1,OxfordCity,11/22/2021 12:46,TRUE,1.46275E+18,1.46276E+18,21562331,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",ladylynncarter,0,FALSE,FALSE,NA,NA
19,Trickshot with taxi <U+0001F695> #Battlefield2042XboxOne #XboxShare https://t.co/aIyK1h4Klx,FALSE,1,NA,11/22/2021 10:01,FALSE,NA,1.46272E+18,NA,"<a href=""http://www.xbox.com/en-US/"" rel=""nofollow"">Xbox One Social</a>",WolvesMadeMath,0,FALSE,FALSE,NA,NA
20,"https://t.co/IyEDnftE3t The Drive should play this,they play her:""Big yellow Taxi"" and "" Help Me""",FALSE,0,NA,11/22/2021 9:44,FALSE,NA,1.46272E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",costanzo740,0,FALSE,FALSE,NA,NA
21,@NbdyDsItBtr @jaydee_757 I wouldn’t call that “euphoria”. It’s bullish those of us already in the crypto echo chamb… https://t.co/cDnTcMdSMC,FALSE,0,NbdyDsItBtr,11/22/2021 4:54,TRUE,1.46261E+18,1.46265E+18,240438308,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jwec1490,0,FALSE,FALSE,NA,NA
22,Yep. And voters are paying attention. Taxi driver today said that he thought Question Time today showed Scott’s tru… https://t.co/Wyro9GD2Gl,FALSE,64,NA,11/22/2021 4:20,TRUE,NA,1.46264E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TheTweetsChief,18,FALSE,FALSE,NA,NA
23,@JohnBoschFF @YZR_Fantasy Modified best ball is a ton of fun. Basically pick an active roster that is then scored o… https://t.co/QLBduOGuXJ,FALSE,1,JohnBoschFF,11/22/2021 3:02,TRUE,1.46259E+18,1.46262E+18,3457897947,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aNellytics,0,FALSE,FALSE,NA,NA
24,@maxrushden @jimmy_boy81 @dannywhite93 how many of these did Kammy sing in the taxi to Rio?,FALSE,0,maxrushden,11/22/2021 2:00,FALSE,1.46254E+18,1.4626E+18,20374935,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ToddWilde1,0,FALSE,FALSE,NA,NA
25,"ICYMI: Earlier this month, @NYTWA drivers took on predatory lenders -- and won! 

@rebekahentralgo looks at how the… https://t.co/HSelkvoFcB",FALSE,0,NA,11/22/2021 1:50,TRUE,NA,1.4626E+18,NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",inequalityorg,1,FALSE,FALSE,NA,NA
26,@mishzar @neialt do you think he felt responsible to sort of take care of taxi in a dad-like way and that’s why the… https://t.co/P6ZoPWlqMn,FALSE,4,mishzar,11/22/2021 1:36,TRUE,1.4626E+18,1.4626E+18,1.15107E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",riivernyx,0,FALSE,FALSE,NA,NA
