,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Well. I guess this got resolved. Uber sent me a small credit and made sure I'd never match with the driver again bu… https://t.co/oWKsrfVgxJ,FALSE,0,makoskies,11/23/2021 0:29,TRUE,1.46214E+18,1.46294E+18,1.25522E+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",makoskies,0,FALSE,FALSE,NA,NA
2,"Late in the day @mattyglesias, who has viciously opposed manufacturing unions (think: trade policy, etc..), governm… https://t.co/3sKZjJj1Ig",FALSE,9,NA,11/23/2021 0:16,TRUE,NA,1.46294E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",jeffhauser,1,FALSE,FALSE,NA,NA
3,Idk if it’s the tequila shots but this Uber hot af . Idk man. 4 <U+0001F31F>? Lol jk,FALSE,0,NA,11/23/2021 0:12,FALSE,NA,1.46294E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sam_I_Am320,0,FALSE,FALSE,NA,NA
4,"FYI TO THOSE TRAVELING TO LA THIS WEEK -
LAX is crowded asf. Be prepared to wait for everything &amp; walk around masse… https://t.co/rjOQNZg0zt",FALSE,7,NA,11/23/2021 0:07,TRUE,NA,1.46294E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TeenyGabTan,1,FALSE,FALSE,NA,NA
5,@MarkWJZ @Uber Something definitely doesn't sound right. To make you get out mid trip? I've never heard of such a thing.,FALSE,0,MarkWJZ,11/22/2021 23:55,FALSE,1.46287E+18,1.46293E+18,355886244,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ravenmaniac1996,0,FALSE,FALSE,NA,NA
6,Selling dope out the Uber relaxing,FALSE,0,NA,11/22/2021 23:53,FALSE,NA,1.46293E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TurkDaJerk_,0,FALSE,FALSE,NA,NA
7,@jeffreytran Can you take an Uber and wear an n95?,FALSE,0,jeffreytran,11/22/2021 23:35,FALSE,1.46292E+18,1.46293E+18,15174996,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ccwake1,0,FALSE,FALSE,NA,NA
8,@DJ_MissLA Oh don’t <U+0001F602> first time I got an Uber the driver got lost whilst using MAPS! I was drunk and had to naviga… https://t.co/GQv2gPAwqQ,FALSE,1,DJ_MissLA,11/22/2021 23:24,TRUE,1.46291E+18,1.46293E+18,214573825,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ImLeanneLouise,0,FALSE,FALSE,NA,NA
9,.@TheJusticeDept is gathering information from people with disabilities who have been charged wait fees by Uber. If… https://t.co/VZ90wEANXw,FALSE,6,NA,11/22/2021 23:19,TRUE,NA,1.46292E+18,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",NFB_voice,4,FALSE,FALSE,NA,NA
10,@LOPGAOfficial @NCRCorporation @MerrillLynch @WellsFargo @Chase @BankofAmerica @InCommPayments @Citibank @NWSB… https://t.co/J4MDEXp3nM,FALSE,0,LOPGAOfficial,11/22/2021 23:18,TRUE,NA,1.46292E+18,1.02216E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mdurkee3,0,FALSE,FALSE,NA,NA
11,Doja cat planet her Uber deluxe end of this month or beginning of next month,FALSE,23,NA,11/22/2021 23:05,FALSE,NA,1.46292E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Leaksonly__,2,FALSE,FALSE,NA,NA
12,Not the Uber driver loving my curly hair my curls ain’t shit fr <U+0001F62D><U+0001F62D>,FALSE,1,NA,11/22/2021 23:00,FALSE,NA,1.46292E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TopaSada,0,FALSE,FALSE,NA,NA
13,"Uber enters booming cannabis market with orders in Ontario, @Reuters rpts: https://t.co/n4KtNHgJIo #marijuana",FALSE,0,NA,11/22/2021 22:56,FALSE,NA,1.46292E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",malbertnews,0,FALSE,FALSE,NA,NA
