,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
1,When was the last time @MayorBowser used Metrorail or Metrobus? #wmata https://t.co/mEkE78gKHi,FALSE,22,NA,11/12/2021 15:10,FALSE,NA,1.46099E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HeadwaysMatter,1,FALSE,FALSE,NA,NA,
2,@ANCCostello @nemoest @DDOTDC @mikel Good lord—I hope they did *something.* I was behind a Metrobus that had clearl… https://t.co/fIpBjSoeca,FALSE,1,ANCCostello,11/12/2021 2:28,TRUE,1.46076E+18,1.4608E+18,1.32508E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",grandmarnier,0,FALSE,FALSE,NA,NA,
3,"@ZacharyforWard5 We do plenty of education in the form of those drive slower signs and Metrobus ads. As you say, we… https://t.co/u58qU4QBOq",FALSE,4,ZacharyforWard5,11/11/2021 16:23,TRUE,1.46064E+18,1.46064E+18,9.77019E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GordonAChaffin,0,FALSE,FALSE,NA,NA,
4,@Kush_Her We are glad to hear that you were able to complete your trip using Metrobus this morning. We appreciate y… https://t.co/ItKHzptVie,FALSE,0,Kush_Her,11/11/2021 13:03,TRUE,1.46059E+18,1.46059E+18,2237761903,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA,
5,aww the metrobus i’m riding says go wizards too bad i don’t care about anyone but matisse thybulle,FALSE,4,NA,11/11/2021 0:31,FALSE,NA,1.46041E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",maanasi_n24,0,FALSE,FALSE,NA,NA,
6,"@ajlamesa They take Metrobus here in DC, using kids ride free passes. <U+0001F44D>",FALSE,1,ajlamesa,11/10/2021 20:35,FALSE,1.46034E+18,1.46035E+18,277851432,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Caitlin_Rogger,0,FALSE,FALSE,NA,NA,
7,"@TeamTashaHarry Good afternoon, can you please share the stop id # for this Metrobus stop? We would like to share t… https://t.co/WfCBEG3fZ0",FALSE,0,TeamTashaHarry,11/10/2021 18:07,TRUE,1.46031E+18,1.46031E+18,156792184,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA,
8,"ICYMI: GW will join the @wmata U-Pass program, providing students with unlimited use of Metrorail and Metrobus for… https://t.co/fJAbQGvGYn",FALSE,18,NA,11/10/2021 17:23,TRUE,NA,1.4603E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GWtweets,2,FALSE,FALSE,NA,NA,
9,@yFactr 90 series metrobus is the busiest crosstown bus route. Should be included.,FALSE,2,yFactr,11/10/2021 16:58,FALSE,1.46006E+18,1.46029E+18,1.37222E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",andrewdefrank,0,FALSE,FALSE,NA,NA,
10,@JamesLLlamas @METROHouston @DowntownHouston Spread my ashes along on metrobus 82,FALSE,8,JamesLLlamas,11/10/2021 15:43,FALSE,1.46026E+18,1.46027E+18,3308309264,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cmoney_htx,0,FALSE,FALSE,NA,NA,
11,"Red Line Alert: Wheaton: due to an animal on the tracks outside Wheaton, Metrobus route Y8 operates btwn Glenmont, Wheaton &amp; Forest Glen.",FALSE,5,NA,11/8/2021 15:02,FALSE,NA,1.45954E+18,NA,"<a href=""http://www.wmata.com/alerts"" rel=""nofollow"">Metrorail Alerts</a>",Metrorailinfo,1,FALSE,FALSE,NA,NA,
12,"@eblovr Were you able to board the bus that recently serviced your complex? https://t.co/FWnbQiMGRM

There have bee… https://t.co/QsK2Cygng3",FALSE,0,eblovr,11/7/2021 23:02,TRUE,1.45929E+18,1.4593E+18,2551005332,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA,
13,"@Metrorailinfo monthly check: of the stations I checked today, only Takoma had Metrobus schedules. https://t.co/0Vk6gAXKRt",FALSE,0,Metrorailinfo,11/7/2021 20:32,FALSE,NA,1.45926E+18,1522468057,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",dashdashado,0,FALSE,FALSE,NA,NA,
14,"New @Metrorailinfo monthly check: ""Metrobus Frequent Service"" maps still dangerously and irresponsibly show Provide… https://t.co/AVfBLRdx8R",FALSE,0,NA,11/7/2021 19:25,TRUE,NA,1.45924E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",dashdashado,0,FALSE,FALSE,NA,NA,
