,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Due to the 2021 SOME Thanksgiving Trot for Hunger 5K, several Metrobus routes will detour on November 25, 2021. Cus… https://t.co/QxsYs4rvRA",FALSE,1,NA,11/22/2021 23:26,TRUE,NA,1.46293E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA
2,"Friendly reminder that #WMATA is still charging its customers peak fares from 5-9:30am and 3-7pm every weekday, and… https://t.co/GHSh5uIDjt",FALSE,17,NA,11/22/2021 19:20,TRUE,NA,1.46286E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",jamespizzurro,4,FALSE,FALSE,NA,NA
3,Police: Man on scooter hit by Metrobus | https://t.co/rqE2IVNkKS https://t.co/51CrM5wwJt,FALSE,0,NA,11/22/2021 17:00,FALSE,NA,1.46283E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",tatzanx,0,FALSE,FALSE,NA,NA
4,"@airish1 Please let us know if you were able to see a four-digit number on the Metrobus vehicle? -KA
(2/2)",FALSE,0,airish1,11/22/2021 16:14,FALSE,1.46281E+18,1.46282E+18,15623937,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA
5,"The man was taken to the hospital with serious, life threatening injuries, authorities said.  https://t.co/TqRbr3kPAj",FALSE,2,NA,11/22/2021 16:01,FALSE,NA,1.46281E+18,NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",wusa9,2,FALSE,FALSE,NA,NA
6,"A man riding a scooter was injured after being hit by a Metrobus in Northwest D.C. Sunday, officials said. https://t.co/w9p4raZsoM",FALSE,0,NA,11/22/2021 4:06,FALSE,NA,1.46263E+18,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",nbcwashington,1,FALSE,FALSE,NA,NA
7,@EvanMGlass I was in the customer service line at the grocery last and a customer was buying a two week bus pass. S… https://t.co/WKVtkdW9WO,FALSE,4,EvanMGlass,11/20/2021 21:54,TRUE,1.46185E+18,1.46218E+18,55018701,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CarolynL222,0,FALSE,FALSE,NA,NA
8,@Askalaunad Good morning. You can find more information regarding our Metrobus Operator Training Program at… https://t.co/AvDF5E1NzC,FALSE,0,Askalaunad,11/19/2021 14:07,TRUE,1.46152E+18,1.4617E+18,9.86325E+17,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA
9,@JustJoiful Thank you for the additional details. The delays on the R12 route were due to operational changes that… https://t.co/e8RNXDK3LI,FALSE,0,JustJoiful,11/19/2021 13:43,TRUE,1.46167E+18,1.46169E+18,232964377,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA
10,@JustJoiful Hi. We apologize for the R12 metrobus delays due to operational changes. You may read more about the im… https://t.co/Nr63zxAS6B,FALSE,0,JustJoiful,11/18/2021 23:54,TRUE,1.46147E+18,1.46148E+18,232964377,"<a href=""http://www.conversocial.com"" rel=""nofollow"">Conversocial</a>",Metrobusinfo,0,FALSE,FALSE,NA,NA
