,user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
1,2218356100,1.45562E+18,1635881723,Yourboibflo,"@KxngDeez You said it best… got all the money in the world for an Uber, taxi, anything… agreed 100% with you",Twitter for iPhone,98,1.45562E+18,3259465054,KxngDeez,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3259465054,KxngDeez,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/Yourboibflo/status/1455619566944591874,Brent Floyd Jr,"Ferndale, MD",Maryland <U+2194><U+FE0F> Tennessee | Tusculum Lacrosse #6 | Set the tone,NA,FALSE,857,1757,4,7422,6201,1386712976,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/2218356100/1634743896,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1453410472926007302/6EySPMD3_normal.jpg
2,35312001,1.4556E+18,1635877408,troublesome21,"Couldn’t take an Uber, Lyft, Taxi, even those party vans that take you to strip joints? <U+0001F926><U+0001F3FD><U+200D><U+2642><U+FE0F> prayers to the families who lost a love one today #raiders",Twitter for iPhone,152,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,raiders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/troublesome21/status/1455601468753342467,villain,California,seasoned vet. power animal: scotch.Born at a very young age. #jaysfordays,NA,FALSE,77,155,0,1772,4425,1240693952,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/35312001/1416761070,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/1054783261845549057/QLehRSsX_normal.jpg
3,1.10079E+18,1.4556E+18,1635877336,DistrictDingers,"There ain’t no damn excuse anymore driving drunk, take an Uber, LYFT, taxi, hire a driver, taking peoples lives for your stupid ass is not acceptable.",Twitter for iPhone,150,NA,NA,NA,FALSE,FALSE,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/DistrictDingers/status/1455601166436478979,District Dingers,"Washington, DC",Punmaster General and Part-Time Podcasters. A podcast for Washington Nationals fans by Washington Nationals fans. Hosted by Jack and Cory #ZimStan,https://t.co/OuYnDsLWyK,FALSE,1239,370,35,18067,19162,1551284482,FALSE,https://t.co/OuYnDsLWyK,https://itunes.apple.com/us/podcast/district-dingers/id1454692501?mt=2,NA,https://pbs.twimg.com/profile_banners/1100793021493329920/1633305059,NA,http://pbs.twimg.com/profile_images/1389014898496217088/Aavj4gIG_normal.jpg
4,48243924,1.4556E+18,1635877148,kingtap08,"Why the fuck don’t these athletes get it , call a fucking Uber or taxi",Twitter for iPhone,70,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/kingtap08/status/1455600376451792897,Etap,"California, USA","Bay Area . Raider Nation , Athletics Baseball",NA,FALSE,260,380,5,73159,13447,1245299090,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/48243924/1348101353,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1315419381766082560/qW3xD4QU_normal.jpg
5,2247810696,1.4556E+18,1635877057,steadypal,"@ShippySpins Hes in vegas too, not like theres a shortage of drivers,,, lyft uber taxi omg",Twitter for iPhone,77,1.4556E+18,340145838,ShippySpins,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340145838,ShippySpins,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/steadypal/status/1455599994719793155,Daniel Roberts,"California, USA",,NA,FALSE,33,249,1,11645,150,1387144941,FALSE,NA,NA,NA,NA,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/905192050542313473/q-6QYNXN_normal.jpg
6,1.33854E+18,1.4556E+18,1635876976,AESMITHPACKFAN,"@Music__Mentor Mr. Jones, Round Here &amp; Big Yellow Taxi.",Twitter for iPhone,44,1.45528E+18,2656796089,Music__Mentor,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2656796089,Music__Mentor,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/AESMITHPACKFAN/status/1455599655048257540,AE Smith,"California, USA","Gen-X living into Family, Friends, Working Out, stock market riding, Bay Area & Wisconsin Sports Teams & Music. My motto: Control the controllables.",NA,FALSE,194,1347,0,8352,3673,1607967072,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1338536851804581890/1607973393,NA,http://pbs.twimg.com/profile_images/1434991538472296452/o_Tvx_YN_normal.jpg
7,266217466,1.4556E+18,1635876878,TheSituAsian508,"If you have millions of dollars there’s no reason to not call an Uber, you have enough money to have your car towed back to your house too if you want. Call the Uber, taxi, neighbor, literally anyone to come get you instead of driving drunk https://t.co/lQ2taMwd93",Twitter for iPhone,240,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,twitter.com/bleacherreport…,https://t.co/lQ2taMwd93,https://twitter.com/bleacherreport/status/1455595849623367687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,1.4556E+18,Raiders WR Henry Ruggs III will be charged with DUI resulting in death after his involvement in a fatal car crash this morning in Las Vegas. He was treated for non-life-threatening injuries. https://t.co/QqFEbZ89pb,1635876068,TweetDeck,19445,3537,890891,BleacherReport,Bleacher Report,10220404,707,147002,,Get the free B/R App,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/TheSituAsian508/status/1455599246510592006,Alex (jeremy wade fan),Harmony Hall,NFL/MLB/NHL/NBA/MLS Free Agent. 1x MHS Football Offensive Player of the Week. Appeared on one (1) episode of Extreme Makeover: Home Edition,NA,FALSE,226,168,10,32608,115228,1300138925,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/266217466/1634572994,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1345448174249537536/n3GcazdE_normal.jpg
8,3051664247,1.4556E+18,1635876738,joshuac3vt,@MidgetTamer Now I do. Mark Davis might need to start a taxi service exclusively for the Raiders.,Twitter for iPhone,84,1.4556E+18,388512447,MidgetTamer,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388512447,MidgetTamer,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/joshuac3vt/status/1455598659622559749,Joshua Carter,"Prince William County, VA","Fan of the Hokies, Raiders, New York Rangers, Braves, Manchester City, & Denny Hamlin. Learning to be an electrician. #RaiderNation #NYR #BattleATL",NA,FALSE,476,1274,16,15558,142329,1424575496,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/3051664247/1591103351,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1182086079081570307/P3QsFa9L_normal.jpg
9,7.7036E+17,1.4556E+18,1635876151,Cheetara1986,@ComplexSports @hectormejianews Doesnt the NFL/NFLPA offer Lyft/Uber/Taxi services? Why do athletes think they are invincible to DUI's?,Twitter for Android,103,1.45559E+18,262715431,ComplexSports,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""262715431"", ""1161372464"")","c(""ComplexSports"", ""hectormejianews"")",en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/Cheetara1986/status/1455596198249762818,Kristina,"Baltimore, MD",Lives in a Pineapple Under the Sea <U+0001F30A> #BlackLivesMatter,NA,FALSE,488,2415,4,14665,12820,1472503172,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/770360254265561088/1596525609,NA,http://pbs.twimg.com/profile_images/1109887953684348928/twGHqdH-_normal.jpg
10,1.41827E+18,1.4556E+18,1635876087,RestonTaxiSer,We strive to make customer satisfaction our number one priority! #Taxi #AirportTaxi #EventTransportation https://t.co/7bVgTMb5r6 https://t.co/0w6m6txSXz,Sendible,128,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,"c(""Taxi"", ""AirportTaxi"", ""EventTransportation"")",NA,bit.ly/2WadJLn,https://t.co/7bVgTMb5r6,https://bit.ly/2WadJLn,http://pbs.twimg.com/media/FDNQxC_XMAULnwZ.jpg,https://t.co/0w6m6txSXz,https://twitter.com/RestonTaxiSer/status/1455595926962180096/photo/1,photo,http://pbs.twimg.com/media/FDNQxC_XMAULnwZ.jpg,https://t.co/0w6m6txSXz,https://twitter.com/RestonTaxiSer/status/1455595926962180096/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)",https://twitter.com/RestonTaxiSer/status/1455595926962180096,Reston Taxi Services LLC,"Herndon, VA ","Reston Taxi Services LLC Offers Taxi Services in Herndon, VA 20171",https://t.co/NvJfYSP1ZE,FALSE,0,0,0,17,0,1626976568,FALSE,https://t.co/NvJfYSP1ZE,https://taxiherndon.com/,NA,https://pbs.twimg.com/profile_banners/1418268540667195394/1627080102,NA,http://pbs.twimg.com/profile_images/1418702813203365888/KF8mJ4zG_normal.jpg
